# example beatnote frequencies in MHz, once per day
# 202110_orbits_plus20deg_low/cfg_N1c_L1_iter100000_g.dat
-8.803 -17.558 -6.438 5.000 -6.156 -15.672 6.188 14.832 16.916
-8.879 -17.760 -6.436 5.000 -6.155 -15.761 6.101 14.629 16.831
-8.956 -17.963 -6.434 5.000 -6.154 -15.845 6.018 14.425 16.745
-9.034 -18.165 -6.432 5.000 -6.153 -15.926 5.939 14.221 16.659
-9.112 -18.367 -6.431 5.000 -6.152 -16.002 5.864 14.018 16.572
-9.192 -18.570 -6.429 5.000 -6.151 -16.074 5.794 13.814 16.484
-9.272 -18.772 -6.427 5.000 -6.150 -16.141 5.728 13.610 16.395
-9.353 -18.973 -6.425 5.000 -6.149 -16.204 5.666 13.408 16.305
-9.435 -19.174 -6.423 5.000 -6.148 -16.263 5.609 13.205 16.215
-9.517 -19.374 -6.422 5.000 -6.147 -16.316 5.557 13.004 16.124
-9.601 -19.573 -6.420 5.000 -6.146 -16.365 5.510 12.804 16.031
-9.685 -19.770 -6.418 5.000 -6.145 -16.410 5.467 12.604 15.939
-9.770 -19.967 -6.416 5.000 -6.144 -16.449 5.429 12.406 15.845
-9.856 -20.162 -6.414 5.000 -6.143 -16.484 5.395 12.210 15.750
-9.943 -20.355 -6.413 5.000 -6.142 -16.514 5.367 12.015 15.655
-10.031 -20.547 -6.411 5.000 -6.141 -16.538 5.344 11.822 15.559
-10.119 -20.736 -6.409 5.000 -6.140 -16.558 5.325 11.631 15.462
-10.208 -20.923 -6.407 5.000 -6.139 -16.573 5.312 11.442 15.364
-10.298 -21.108 -6.405 5.000 -6.138 -16.583 5.303 11.256 15.265
-10.389 -21.291 -6.403 5.000 -6.137 -16.588 5.300 11.072 15.166
-10.481 -21.470 -6.401 5.000 -6.135 -16.586 5.300 10.891 15.066
-10.573 -21.647 -6.398 5.000 -6.133 -16.578 5.304 10.712 14.966
-10.667 -21.820 -6.395 5.000 -6.131 -16.564 5.312 10.536 14.865
-10.761 -21.990 -6.392 5.000 -6.129 -16.545 5.326 10.363 14.763
-10.856 -22.157 -6.389 5.000 -6.127 -16.522 5.344 10.193 14.661
-10.951 -22.321 -6.386 5.000 -6.125 -16.493 5.368 10.027 14.558
-11.048 -22.481 -6.383 5.000 -6.123 -16.460 5.397 9.865 14.454
-11.144 -22.637 -6.380 5.000 -6.121 -16.421 5.431 9.706 14.350
-11.242 -22.789 -6.377 5.000 -6.119 -16.377 5.469 9.551 14.245
-11.340 -22.937 -6.374 5.000 -6.117 -16.329 5.513 9.400 14.140
-11.438 -23.081 -6.371 5.000 -6.115 -16.275 5.562 9.254 14.034
-11.538 -23.221 -6.369 5.000 -6.113 -16.217 5.615 9.112 13.927
-11.637 -23.356 -6.366 5.000 -6.111 -16.153 5.673 8.974 13.820
-11.737 -23.487 -6.363 5.000 -6.109 -16.085 5.737 8.841 13.712
-11.838 -23.613 -6.360 5.000 -6.107 -16.012 5.805 8.712 13.604
-11.939 -23.734 -6.357 5.000 -6.105 -15.935 5.877 8.589 13.496
-12.040 -23.850 -6.354 5.000 -6.103 -15.853 5.954 8.470 13.387
-12.142 -23.961 -6.351 5.000 -6.102 -15.766 6.036 8.357 13.278
-12.244 -24.067 -6.348 5.000 -6.100 -15.675 6.122 8.248 13.168
-12.346 -24.167 -6.345 5.000 -6.098 -15.579 6.213 8.145 13.058
-12.449 -24.263 -6.342 5.000 -6.096 -15.480 6.308 8.047 12.948
-12.551 -24.352 -6.339 5.000 -6.094 -15.376 6.407 7.955 12.838
-12.654 -24.437 -6.336 5.000 -6.092 -15.267 6.510 7.868 12.728
-12.758 -24.515 -6.333 5.000 -6.090 -15.155 6.618 7.787 12.617
-12.861 -24.588 -6.330 5.000 -6.088 -15.039 6.729 7.711 12.506
-12.964 -24.655 -6.326 5.000 -6.086 -14.919 6.844 7.642 12.395
-13.068 -24.717 -6.323 5.000 -6.084 -14.795 6.963 7.578 12.284
-13.171 -24.772 -6.320 5.000 -6.082 -14.668 7.085 7.520 12.173
-13.275 -24.822 -6.317 5.000 -6.081 -14.537 7.211 7.468 12.062
-13.378 -24.865 -6.314 5.000 -6.079 -14.402 7.341 7.422 11.951
-13.482 -24.903 -6.311 5.000 -6.077 -14.265 7.474 7.382 11.840
-13.585 -24.934 -6.308 5.000 -6.075 -14.124 7.609 7.348 11.730
-13.688 -24.959 -6.305 5.000 -6.073 -13.981 7.748 7.320 11.619
-13.791 -24.979 -6.302 5.000 -6.071 -13.834 7.890 7.298 11.509
-13.893 -24.992 -6.299 5.000 -6.069 -13.685 8.034 7.282 11.399
-13.996 -24.999 -6.296 5.000 -6.068 -13.533 8.181 7.272 11.289
-14.098 -25.000 -6.293 5.000 -6.066 -13.378 8.331 7.269 11.179
-14.200 -25.000 -6.288 5.000 -6.062 -13.223 8.484 7.277 11.071
-14.304 -25.000 -6.281 5.000 -6.057 -13.066 8.639 7.297 10.964
-14.407 -24.998 -6.273 5.000 -6.050 -12.908 8.798 7.326 10.858
-14.510 -24.989 -6.265 5.000 -6.043 -12.748 8.958 7.362 10.752
-14.613 -24.975 -6.257 5.000 -6.036 -12.586 9.120 7.404 10.647
-14.715 -24.954 -6.249 5.000 -6.029 -12.423 9.283 7.452 10.542
-14.817 -24.928 -6.241 5.000 -6.023 -12.258 9.448 7.506 10.438
-14.918 -24.896 -6.233 5.000 -6.016 -12.092 9.614 7.566 10.335
-15.018 -24.857 -6.225 5.000 -6.009 -11.925 9.781 7.631 10.232
-15.118 -24.813 -6.217 5.000 -6.002 -11.758 9.949 7.703 10.129
-15.217 -24.764 -6.209 5.000 -5.996 -11.589 10.118 7.780 10.028
-15.316 -24.708 -6.200 5.000 -5.989 -11.421 10.287 7.863 9.927
-15.414 -24.647 -6.192 5.000 -5.982 -11.251 10.456 7.951 9.826
-15.511 -24.581 -6.184 5.000 -5.975 -11.082 10.626 8.045 9.727
-15.607 -24.509 -6.176 5.000 -5.969 -10.913 10.795 8.144 9.628
-15.703 -24.432 -6.168 5.000 -5.962 -10.744 10.965 8.249 9.530
-15.797 -24.350 -6.160 5.000 -5.955 -10.575 11.134 8.358 9.432
-15.891 -24.263 -6.152 5.000 -5.948 -10.407 11.302 8.473 9.336
-15.984 -24.170 -6.144 5.000 -5.942 -10.239 11.470 8.593 9.240
-16.077 -24.073 -6.135 5.000 -5.935 -10.073 11.637 8.717 9.146
-16.168 -23.971 -6.127 5.000 -5.928 -9.907 11.802 8.847 9.052
-16.259 -23.865 -6.119 5.000 -5.922 -9.743 11.967 8.980 8.959
-16.348 -23.754 -6.111 5.000 -5.915 -9.580 12.130 9.119 8.867
-16.437 -23.639 -6.103 5.000 -5.908 -9.419 12.291 9.262 8.776
-16.524 -23.519 -6.095 5.000 -5.902 -9.260 12.451 9.409 8.685
-16.611 -23.396 -6.087 5.000 -5.895 -9.103 12.609 9.559 8.596
-16.697 -23.268 -6.079 5.000 -5.888 -8.947 12.764 9.714 8.508
-16.781 -23.137 -6.070 5.000 -5.882 -8.794 12.918 9.873 8.421
-16.865 -23.002 -6.062 5.000 -5.875 -8.644 13.069 10.035 8.335
